Alimento,Energia_KJ,Energia_Kcal,Carboidrato,Proteina
"Abobrinha, italiana, c/ casca, refogada (c/ óleo, cebola e alho), c/ sal,",107,26,"4,19","1,07"
"Alface, americana, crua,Lactuca sativa L.,",25,6,"1,5","0,41"
"Alface, crespa, crua,Lactuca sativa L.,",43,10,"1,7","1,35"
"Alface, crua,Lactuca sativa L.,",37,9,"1,79","1,08"
"Aveia, farinha, crua, Avena sativa,Mac Bits,",1559,370,67,"14,9"
"Aveia, flocos, finos, Avena sativa,Float,",1594,379,"64,5","15,6"
"Beterraba, s/ casca, cozida, drenada, s/ óleo, s/ sal,Beta vulgaris L.,",113,27,"6,29","1,23"
"Cenoura, s/ casca, cozida, drenada, s/ óleo, c/ sal,Daucus carota L.,",70,17,"4,3","0,54"
"Cenoura, s/ casca, crua,Daucus carota L.,",128,31,"7,55","1,12"
"Couve, cozida, drenada, s/ óleo, c/ sal,Brassica oleracea var. Acephala,",106,25,"4,01","2,66"
"Iogurte, natural (média de diferentes amostras),",239,57,"4,76","4,02"
"Iogurte, natural, desnatado,",204,48,"7,04","4,04"
"Macarrão, trigo integral, c/ atum em conserva, salsa, c/ azeite de oliva, c/ sal,",689,164,"18,9","9,78"
"Macarrão, trigo, c/ ovos, c/ alho e óleo, c/ sal,",754,179,"25,8","3,64"
"Macarrão, trigo, integral, c/ molho branco (leite, manteiga e farinha de trigo), c/ sal,",575,136,"24,3","4,99"
"Macarrão, trigo, integral, cozido, drenado, s/ óleo, c/ sal,",520,123,"26,3","4,89"
"Macarrão, c/ molho bolonhesa, c/ sal, (macarrão - espaguete, carne bovina - patinho moído, tomate, cebola, alho, c/ óleo de soja),",520,123,"22,5","4,42"
"Macarrão, carbonara, c/ sal, (macarrão, trigo, cozido, ovo de galinha, c/ toucinho defumado (bacon), c/ queijo permesão, c/ pimenta-do-reino, c/ sal,",1115,268,"12,7","12,9"
"Macarrão, trigo cozido, c/ molho pesto (azeite de oliva, queijo permesão, manjericão, noz, alho, c/ pimenta-do-reino), c/ sal,",964,231,"21,6","5,3"
"Macarrão, trigo integral cozido, c/ molho pesto (azeite de oliva, queijo permesão, manjericão, noz, alho, c/ pimenta-do-reino), c/ sal,",955,229,"21,1","6,31"
"Macarrão, trigo, c/ ovos, c/ molho branco (leite, manteiga e farinha de trigo), c/ sal,",586,139,"24,6","3,96"
"Macarrão, trigo, c/ ovos, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,",488,115,"22,9","3,19"
"Macarrão, trigo, integral, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal,",478,113,"22,4","4,27"
